Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade
1,4,3,2,2,1,2,4,4,85.0
1,4,2,4,2,1,2,6,5,75.0
1,4,4,1,4,1,3,4,4,98.0
1,4,4,2,1,1,3,4,3,99.0
1,4,4,1,1,1,2,5,5,87.0
1,4,2,1,2,1,2,2,4,82.0
0,4,4,3,3,1,2,4,4,70.0
1,4,1,1,3,1,1,4,4,50.0
1,4,3,5,5,1,2,3,2,60.0
1,4,3,1,5,1,4,3,3,70.0
1,4,1,2,2,1,1,2,2,42.5
1,4,1,2,1,1,2,5,5,76.0
1,4,1,2,3,1,3,5,3,92.5
1,4,1,4,1,1,2,4,4,40.0
1,4,4,1,2,1,3,3,4,60.0
1,4,4,3,3,1,1,3,3,70.0
0,4,2,2,2,1,1,3,3,60.0
1,4,4,1,4,1,2,3,4,90.0
0,4,0,0,0,0,1,4,2,50.0
1,4,1,1,2,1,2,4,4,50.0
1,4,3,5,2,1,3,6,4,80.5
0,4,1,5,2,1,1,2,2,75.0
1,4,2,5,3,1,3,6,5,99.0
1,4,4,1,5,1,4,5,4,83.5
0,4,1,5,1,1,3,4,5,75.0
0,4,2,2,1,1,3,4,4,70.0
1,4,1,5,1,1,1,3,1,50.6
1,4,4,1,5,1,2,5,3,70.0
0,4,1,3,2,1,1,3,4,53.0
0,4,1,5,1,1,3,5,4,97.5
0,4,4,5,1,1,2,2,3,67.0
1,4,4,5,5,1,2,4,4,88.0
0,4,1,5,1,1,2,4,3,90.0
0,4,0,0,0,0,2,4,5,90.0
0,4,1,3,2,1,1,5,2,50.0
1,4,1,5,3,1,2,5,4,89.0
1,4,3,1,2,1,3,5,3,95.0
1,4,4,1,3,1,2,3,4,75.0
0,4,2,1,2,1,2,3,4,60.0
0,4,2,3,1,1,3,4,5,98.0
0,4,1,5,1,1,2,4,4,95.0
1,4,4,5,3,1,3,5,5,91.0
1,4,2,5,2,1,3,4,4,55.0
0,4,2,5,1,1,3,5,4,89.5
1,4,1,5,1,1,3,3,3,90.0
